,Journal Entry,Date,sent
0,Shift went well! Busy night! Youngest patient 6 months old. ,8/6/2019,0.1125
2,Red Cross showed a video that includes Sunny Street - it's on the red Cross website. Good engagement today. ,8/8/2019,0.13999999999999999
3,"new with Queenie out back next to OS worked well
need to teach team about F8 messaging",8/13/2019,0.04545454545454545
5,no nursing support,8/14/2019,0.0
6,"Great clinic
New patients seen
Well coordinated
First Hep C treatment started",8/14/2019,0.3954545454545455
7,"Need restocking dressings
Garbage bags
Team feeling disheartened with long-term bagss situation ",8/15/2019,0.0
10,Thermometer battery dead,8/20/2019,-0.2
11,Patients frustrated with weight times and people jumping queue. May need to organize ticket system to allow fairness. ,8/20/2019,-0.7
12,Busy night! Not enough time for me to see all people unfortunately. Some people with increased time requirements for assistance and lengthy conversations. Enjoyable!,8/20/2019,0.0625
13,"Stock needed - dressing trays, blueys, glucometer, saline . ",8/22/2019,0.0
14,Bigger gloves. Quiet night! ,8/22/2019,0.0
15,Left nursing kit and laptop in place. Rearranged consult area nurses station to enhance privacy and added musical ambience. Diagnosed a skin cancer. Received positive feedback re music ,8/23/2019,0.07575757575757576
16,"Nurses Kit needs dressing trays, large Melonin dressings ",8/26/2019,0.21428571428571427
17,List for GP to complete,8/27/2019,0.1
18,BGL kit missing. Consider antibacterial wipes in kits. Good conversations. ,8/27/2019,0.24999999999999997
19,Thriving Families not present. Tense environment with escalating behaviour on periphery of clinic. Frustrating to observe and support people through the social system.,8/28/2019,-0.17500000000000002
20,"need nurofen in doctors bag and BGL machine
clinic finished too late - need to cut off numbers earlier in night - need strategy
need time cut-off and ask WM to inform when put on list there mightn't be time",8/28/2019,-0.15
21,Quiet clinic tonight. Nurses kit needs dressing packs ,8/29/2019,0.0
22,Pharmacy trip to 3 to get the meds needed. Police took 6 kids away trying to get into cafe - massive deterrent. ,8/29/2019,0.0
23,Informed patients nova away for 1 month. Very positive clinic! Patients getting on top of some issues and kicking goals! One patient said 'Thank you for listening!' also had another doctor and a support on crew,8/30/2019,0.5752840909090909
25,"Client upset about Nova not being here.
Podiatrist commenced tonight for MNC",9/3/2019,0.0
26,Vesp for volunteering support. Some young kids homeless and adults chroming really saddening. 4 vollies - absolutely needed!! Need thermometer covers. ,9/3/2019,0.2041666666666667
27,Lots of hugs!! 2 new fabulous people! ,9/4/2019,0.3181818181818182
29,"Quiet clinic, plenty of conversations outside the consulting rooms. Nursing kit needs restock",9/9/2019,0.0
31,One Pt described our SW student as Santa Claus and everyday is Christmas because of his help! Really great engagement! Thriving Families will continue the SS support ,9/11/2019,0.375
33,"3 new patients tonight. IT issues, Noytech notified, one laptop sorted. Problems connecting to WiFi using new Telstra dongle, staff using their phones for hotspot ",9/12/2019,0.13636363636363635
